escuela,lng,lat,amount
Pantano del Arquillo,40.3648579,-1.204805374,17
Cova del Dragut (Psicobloc),39.18350384,-0.2182245255,0
Pared de Bujaruelo,42.69584975,-0.1052927971,12
Valdenebro,41.56922434,-2.955322266,0
Pico del Remedio,39.77569301,-0.9890592098,3
Berrocal de Ortigosa,40.84576991,-4.189910889,0
Castillo de Santa Catalina,37.76582963,-3.797922134,0
Racó de Cortes,38.54252655,-0.2865028381,7
Cueva de Edwards,38.51545882,-0.1899433136,0
Cortes de Pallás,39.23559386,-0.9430861473,41
Peña del Castellet,38.69557557,-0.1273834705,0
Desplomilandia,36.95040623,-4.779009819,0
Estrets d'Arnes,40.89078259,0.2973175049,40
Sierra Santa Barbara(Sierra Oliva),38.70259232,-0.9926319122,41
Estepa,37.27951658,-4.890289307,28
Cañete la Real (Málaga),36.95092067,-5.033626556,0
Villanueva de Valdegovía,42.848073,-3.098352,229
Foz de Zafrané,41.36431269,-0.8715248108,104
Sant Llorenç del Munt i Serra de l'Obac,41.63353535,2.012729645,0
Recuevas,42.748379,-4.224067,231
Cañón del Sil,42.43390979,-7.703819275,52
Gama,42.748824,-4.210124,35
Mave,42.736979,-4.274061,19
Ermita de Ulldecona - Sierra Godall,40.63306054,0.471124649,162
Castellet de Finestrat,38.60945966,-0.2182030678,0
Col de los Ladrones,42.76376025,-0.5082035065,5
Espiel,38.17397248,-5.036501884,0
Morro d'Almaida,38.61127051,-0.1515126228,0
Monasterio,42.879671,-4.363733,7
Canón do Eume,43.408274,-8.010621,81
El Cerro,40.12320794,-5.950952768,65
Valcorchero,40.05412872,-6.09556675,32
Dolomiti di Brenta,46.16675449,10.87989807,1
Gruppo del Sella,46.52083943,11.81510925,2
Arco,45.91921403,10.88830948,0
Placche di Baone,45.92412496,10.87129354,21
Morón de la Frontera,37.09489535,-5.484924316,31
Piedras rojas,42.78544882,-0.5210673809,0
La Solana,38.80029473,-0.5629259348,0
Ull del Moro,38.6859955,-0.4552137852,0
Redipollos,43.0016342,-5.256271362,102
Montgat,41.46346273,2.263481319,7
Teià,41.50161917,2.325217724,27
Risco de San Blas,39.22081705,-7.014341354,18
Pola de Gordón,42.85958456,-5.674551129,21
Pico Susarón,42.98926708,-5.282020569,6
Ciudadela Deportiva California,-1.060618976,-80.47273457,0
Sigsipamba,-0.242642631,-78.31475258,20
Villanueva de la Tercia,42.96408572,-5.651006699,73
Viadangos de Arbas,42.95139694,-5.734090805,6
Capileira,36.96525498,-3.350830078,0
Txakur Txiki,43.39073774,-1.799866855,18
Tollo Pillete,39.1361281,-1.100383,22
Arkale,43.31364482,-1.846051812,19
La Azohía,37.56379567,-1.173622012,0
Ayna,38.55568324,-2.070922852,91
Manzaneda,43.31261046,-5.827839375,82
Arnao,43.5781136,-5.98665297,12
Vértigo,-0.2055104141,-78.42826903,0
monodedo,-0.2099655339,-78.48202854,0
Cojitambo,-2.760699857,-78.88809085,112
El Cajas,-2.783852379,-79.22258377,6
Cadalso,40.29823404,-4.418199062,37
Covas,42.47228684,-6.818304062,38
Baltzola,43.122028,-2.726259,3
Céllecs,41.56241723,2.34331727,0
Olympos,36.390045,30.463734,28
Las Moyas,4.664543231,-74.00150299,0
Payandé,4.295743943,-75.04486084,0
Chusacá,4.601236047,-74.27976608,0
Valdehuesa,42.92657716,-5.31703949,259
La Cantera,37.75276718,-3.799220324,34
Chorrerón,10.21488008,-64.58823681,14
Cubells,41.8730541,0.9853819013,66
Paute,-2.763395025,-78.75806272,54
Las Cabadas,43.3055061,-4.805939198,23
Navalones,43.30265631,-5.840252638,20
La Trincherona,43.44671115,-5.196994543,13
Valle de Lago,43.07201496,-6.198724508,21
Monte Frouxeira,43.53676607,-7.354595661,12
Simas de Valdecebro,40.36501935,-1.072430313,21
Quirós,43.2066773,-6.01896286,237
Teverga,43.17570173,-6.090502739,0
Molledo,43.34765169,-5.708556175,22
Fresnidiello,43.22192465,-4.76600647,0
Picu Urriellu (Naranjo de Bulnes),43.20096834,-4.816925526,0
Peña del Macho,40.35797446,-1.075040102,22
Beberino,42.87234729,-5.685510635,15
Collada de Cármenes,42.96125924,-5.612511635,29
La Marea,43.25839333,-5.405488014,31
Felechosa - Cuevas,43.09104898,-5.477843285,71
Travesía les percebes,43.39723674,-4.609150887,1
Careses,43.41935678,-5.606331825,25
Crestes del Conill,41.88040951,0.8741721511,37
Tanti,-31.32548668,-64.68612671,0
Peña Cosera,42.88586993,-5.893135071,18
La Cueta,43.01424986,-6.187534332,62
Villafeliz,42.9426012,-5.983214378,20
Los Hocinos,41.86962474,-3.393573761,0
Parque escalada Minas,3.21400278,-76.57981396,9
Órganos de Montoro,40.68399008,-0.5539512634,2
Esquilleu (Placas del río),43.22963288,-4.582564831,23
Fragas del Boeza,42.55004531,-6.563429832,38
Fragas del Sil,42.56126768,-6.582312584,0
Peñarrubia,42.46335962,-6.803047657,11
Sayausí,-2.877684784,-79.07212123,9
Foz del Palanco,42.89473665,-5.772242546,31
Següenco (El Picón),43.31237626,-5.117998123,26
Escuela de Visuña,42.60307302,-7.06867218,39
Piedrasecha,42.82417638,-5.778465271,25
Armora Gedel,9.089892544,38.79976273,7
Mirantes de Luna,42.87464321,-5.85350275,20
La Boyeriza,42.88354299,-5.761985779,44
Sena de Luna,42.9297823,-5.952014923,55
Rabanal de Luna,42.93606641,-5.968494415,61
Hoces Free,42.89841502,-5.541615486,85
Puerto Roque,39.34983019,-7.296724319,0
Sierra de Gata,40.21611114,-6.796245575,0
Los Bloques del Búho,39.10582088,-6.714363098,0
Cancho Bermejo,40.41673081,-5.746353865,40
Risco de Santibañez,40.5085461,-5.60195446,0
Alto del telégrafo,40.77979401,-4.034149647,0
El Veral,42.99003421,-7.631488144,0
Fraguel Rock,38.99506883,-1.864060163,0
Fonseca,40.1400895,-0.7168793678,26
La Berzosa,40.61142763,-3.926475048,4
Cala Santanyí,39.32706506,3.149610758,68
La Guairita,10.44848049,-66.8217659,0
Cala Barques,39.49988495,3.296005726,35
La Ñora,43.54226464,-5.588436127,41
Gaianes,38.81108842,-0.4092407227,2
Castro de Baroña,42.698326,-9.029279,39
Cerro Ahuaca - Cariamanga,-4.312091374,-79.55346107,7
Foradada del Toscar,42.41167074,0.3495025635,34
Parque Lineal,-4.020953009,-79.20291781,0
Algameca,37.584497,-1.001249,0
Muralla China,-45.67476251,-72.05752373,0
El Maitenal,-46.28333333,-71.98333333,34
